Recensement agricole 2020; ; 
Référentiel géographique : France  par Commune 2020; ; 
Code;Libellé;SAU moyenne en 2020;SAU moyenne en 2020 - estimation (*=oui)
21487;Pluvet;110.7;
21488;Poinçon-lès-Larrey;203.7;
21489;Poiseul-la-Grange;216.4;
21490;Poiseul-la-Ville-et-Laperrière;186.7;
21491;Poiseul-lès-Saulx;N/A - division par 0;
21492;Pommard;6.6;
21493;Poncey-lès-Athée;369.8;
21494;Poncey-sur-l'Ignon;202.7;
21495;Pont;188.8;
21496;Pontailler-sur-Saône;146.4;
21497;Pont-et-Massène;254.8;
21498;Posanges;234.2;
21499;Pothières;208.8;
21500;Pouillenay;115.8;
21501;Pouilly-en-Auxois;163.5;
21502;Pouilly-sur-Saône;103.4;
21503;Pouilly-sur-Vingeanne;218.3;
21504;Prâlon;214.5;
21505;Précy-sous-Thil;112.7;
21506;Premeaux-Prissey;35.7;
21508;Prenois;238;
21510;Prusly-sur-Ource;264.8;
21511;Puits;131.4;
21512;Puligny-Montrachet;5.9;
21514;Quemigny-sur-Seine;249.2;
21515;Quetigny;82.8;
21516;Quincerot;3.3;
21517;Quincey;141.4;
21518;Quincy-le-Vicomte;90.9;
21519;Recey-sur-Ource;324.6;
21520;Remilly-en-Montagne;139.8;
21521;Remilly-sur-Tille;67.2;
21522;Renève;215.5;
21523;Reulle-Vergy;49.5;
21524;Riel-les-Eaux;134.9;
21525;La Roche-en-Brenil;83.1;
21526;Rochefort-sur-Brévon;N/A - division par 0;
21527;La Rochepot;70.6;
21528;La Roche-Vanneau;252.2;
21529;Roilly;192.8;
21530;Rougemont;142.8;
21531;Rouvray;63.3;
21532;Rouvres-en-Plaine;139;
21533;Rouvres-sous-Meilly;213.2;*
21534;Ruffey-lès-Beaune;104.5;
21535;Ruffey-lès-Echirey;69.7;
21536;Sacquenay;248.4;
21537;Saffres;26.8;
21538;Saint-Andeux;194.8;
21539;Saint-Anthot;409.1;
21540;Saint-Apollinaire;86.5;
21541;Saint-Aubin;10.2;
21542;Saint-Bernard;107.6;
21543;Saint-Broing-les-Moines;143.1;
21544;Sainte-Colombe-en-Auxois;99.8;
21545;Sainte-Colombe-sur-Seine;83.1;
21546;Saint-Didier;182.4;
21547;Saint-Euphrône;158.2;
21548;Saint-Germain-de-Modéon;91.5;
21549;Saint-Germain-le-Rocheux;58.7;
21550;Saint-Germain-lès-Senailly;156.4;
21552;Saint-Hélier;N/A - division par 0;
21553;Saint-Jean-de-Bœuf;126.9;
21554;Saint-Jean-de-Losne;N/A - division par 0;
21555;Saint-Julien;93;
21556;Saint-Léger-Triey;258.6;
21557;Saint-Marc-sur-Seine;N/A - division par 0;
21558;Sainte-Marie-la-Blanche;33.3;
21559;Sainte-Marie-sur-Ouche;N/A - division par 0;
21560;Saint-Martin-de-la-Mer;93.4;
21561;Saint-Martin-du-Mont;137.1;
21562;Saint-Maurice-sur-Vingeanne;300.1;
21563;Saint-Mesmin;159.1;
21564;Saint-Nicolas-lès-Cîteaux;134.1;
21565;Saint-Philibert;104.9;
21566;Saint-Pierre-en-Vaux;91.3;
21567;Saint-Prix-lès-Arnay;111.9;
21568;Saint-Rémy;147.8;
21569;Saint-Romain;35.2;
21570;Sainte-Sabine;156.2;
21571;Saint-Sauveur;146.8;
21572;Saint-Seine-en-Bâche;226.6;
21573;Saint-Seine-l'Abbaye;250.7;
21574;Saint-Seine-sur-Vingeanne;141.4;
21575;Saint-Symphorien-sur-Saône;172.4;
21576;Saint-Thibault;172.7;
21577;Saint-Usage;86.1;
21578;Saint-Victor-sur-Ouche;78.1;
21579;Salives;264.1;
21580;Salmaise;265.7;
21581;Samerey;N/A - division par 0;
21582;Santenay;12.7;
21583;Santosse;104.8;
21584;Saulieu;104.2;
21585;Saulon-la-Chapelle;123.6;
21586;Saulon-la-Rue;132.4;
21587;Saulx-le-Duc;191.1;
21588;Saussey;159.9;
21589;Saussy;191.4;
21590;Savigny-lès-Beaune;18.8;
21591;Savigny-le-Sec;64.4;
21592;Savigny-sous-Mâlain;78.2;
21593;Savilly;200.1;
21594;Savoisy;158.7;
21595;Savolles;166.8;
21596;Savouges;53.9;
21597;Segrois;N/A - division par 0;
21598;Seigny;157.3;
21599;Selongey;144.3;
21600;Semarey;68.5;
21601;Semezanges;206.1;
21602;Semond;222.6;
21603;Semur-en-Auxois;97.8;
21604;Senailly;246.9;
21605;Sennecey-lès-Dijon;119.2;*
21606;Ladoix-Serrigny;40.9;
21607;Seurre;105.7;
21608;Sincey-lès-Rouvray;213.6;
21609;Soirans;N/A - division par 0;
21610;Soissons-sur-Nacey;N/A - division par 0;
21611;Sombernon;167.6;
21612;Souhey;174.2;
21613;Soussey-sur-Brionne;94.7;
21614;Spoy;159.3;
21615;Sussey;106.4;
21616;Tailly;18.9;
21617;Talant;10.4;
21618;Talmay;77.3;
21619;Tanay;278.4;
21620;Tarsul;183.8;
21622;Tart-le-Bas;164.3;
21623;Tart;114;
21624;Tellecey;189.4;
21625;Ternant;97.4;
21626;Terrefondrée;186.8;
21627;Thenissey;151.8;
21628;Thoires;74.6;
21629;Thoisy-la-Berchère;156.5;
21630;Thoisy-le-Désert;181.3;
21631;Thomirey;127.8;
21632;Thorey-en-Plaine;208.9;
21633;Thorey-sous-Charny;71.3;
21634;Thorey-sur-Ouche;157;
21635;Thoste;190.5;
21636;Thury;120.5;
21637;Tichey;164.7;
21638;Til-Châtel;202.3;
21639;Tillenay;17.5;
21640;Torcy-et-Pouligny;164.7;
21641;Touillon;270.3;
21642;Toutry;3.8;
21643;Tréclun;97.3;
21644;Trochères;1.4;
21645;Trouhans;128.7;
21646;Trouhaut;163.7;
21647;Trugny;153.1;
21648;Turcey;185.5;
21649;Uncey-le-Franc;281;
21650;Urcy;133.1;
21651;Val-Suzon;N/A - division par 0;
21652;Vandenesse-en-Auxois;130.3;
21653;Vannaire;115.4;
21655;Vanvey;N/A - division par 0;
21656;Varanges;140.1;
21657;Varois-et-Chaignot;161.2;
21659;Vaux-Saules;212.5;
21660;Veilly;155.9;
21661;Velars-sur-Ouche;114.7;
21662;Velogny;68.9;
21663;Venarey-les-Laumes;127.5;
21664;Verdonnet;147.9;
21665;Vernois-lès-Vesvres;199.9;
21666;Vernot;251.9;
21667;Véronnes;176.4;
21669;Verrey-sous-Drée;167.1;
21670;Verrey-sous-Salmaise;516.5;
21671;Vertault;183.4;
21672;Vesvres;310;
21673;Veuvey-sur-Ouche;8.2;
21674;Veuxhaulles-sur-Aube;185.4;
21675;Vianges;144.8;
21676;Vic-de-Chassenay;137;
21677;Vic-des-Prés;373.2;
21678;Vic-sous-Thil;106.2;
21679;Vieilmoulin;114.4;
21680;Vielverge;143.7;
21681;Vieux-Château;164.8;
21682;Viévigne;229.2;
21683;Viévy;177.1;
21684;Vignoles;148.5;*
21685;Villaines-en-Duesmois;213.1;
21686;Villaines-les-Prévôtes;48;
21687;Villargoix;158.6;
21688;Villars-Fontaine;9.4;
21689;Villars-et-Villenotte;154.9;
21690;Villeberny;147.9;
21691;Villebichot;217.1;
21692;Villecomte;150.9;
21693;Villedieu;68.8;
21694;Villeferry;210.5;
21695;La Villeneuve-les-Convers;199.2;
21696;Villeneuve-sous-Charigny;N/A - division par 0;
21698;Villers-la-Faye;28.2;
21699;Villers-les-Pots;92;
21700;Villers-Patras;170.3;
21701;Villers-Rotin;143.9;
21702;Villey-sur-Tille;44.5;
21703;Villiers-en-Morvan;169.1;
21704;Villiers-le-Duc;N/A - division par 0;
21705;Villotte-Saint-Seine;140.8;
21706;Villotte-sur-Ource;219;
21707;Villy-en-Auxois;66.9;
21708;Villy-le-Moutier;151.8;
21709;Viserny;209.3;
21710;Vitteaux;189.4;
21711;Vix;131.7;
21712;Volnay;7.3;
21713;Vonges;0.9;
21714;Vosne-Romanée;9;
21715;Voudenay;88.3;
21716;Vougeot;4.4;
21717;Voulaines-les-Templiers;154.6;
22001;Allineuc;54.7;
22002;Andel;42.2;
22003;Aucaleuc;58.5;
22004;Bégard;45.9;
22005;Belle-Isle-en-Terre;64.7;
22006;Berhet;37.9;
22008;Bobital;45.6;
22009;Le Bodéo;91.6;
22011;Boqueho;43;
22012;La Bouillie;49.4;
22013;Bourbriac;64.7;
22014;Bourseul;70.2;
22015;Bréhand;48.8;
22016;Île-de-Bréhat;7.7;
22018;Brélidy;30.3;
22019;Bringolo;53.7;
22020;Broons;75.8;
22021;Brusvily;87.9;
22023;Bulat-Pestivien;79.9;
22024;Calanhel;82.1;
22025;Callac;54.6;
22026;Calorguen;85.8;*
22027;Le Cambout;58.1;
22028;Camlez;41.2;
22029;Canihuel;100.1;
22030;Caouënnec-Lanvézéac;53.8;
22031;Carnoët;80.2;
22032;Caulnes;62.7;
22033;Caurel;80.6;*
22034;Cavan;44.9;
22035;Les Champs-Géraux;58.1;
22036;La Chapelle-Blanche;68.9;
22037;La Chapelle-Neuve;79.5;
22039;La Chèze;20.8;
22040;Coadout;37.1;
22041;Coatascorn;63.5;
22042;Coatréven;57.9;
22043;Coëtlogon;65;
22044;Coëtmieux;85.1;
22045;Cohiniac;50;
22046;Le Mené;58.2;
22047;Corlay;76;
22048;Corseul;65.9;
22049;Créhen;94.8;
22050;Dinan;49.2;
22052;Duault;96.9;
22053;Éréac;79.8;
22054;Erquy;61;
22055;Binic-Étables-sur-Mer;46.2;
22056;Évran;53.5;
22057;Le Faouët;48.7;*
22059;Le Fœil;63.7;
22060;Gausson;61.6;
22061;Glomel;59.1;
22062;Gomené;70.9;
22063;Gommenec'h;69.6;
22064;Gouarec;74.6;
22065;Goudelin;57.2;
22067;Grâces;41.6;
22068;Grâce-Uzel;51.2;
22069;Guenroc;101.9;
22070;Guingamp;2;
22071;Guitté;57.7;
22072;Gurunhuel;90.8;
22073;La Harmoye;56.2;
22074;Le Haut-Corlay;71.9;
22075;Hémonstoir;75;
22076;Hénanbihen;71.5;
22077;Hénansal;46.6;
22079;Hénon;60.6;
22081;Hillion;62.4;
22082;Le Hinglé;N/A - division par 0;
22083;Illifaut;75.3;
22084;Jugon-les-Lacs - Commune nouvelle;54.6;
22085;Kerbors;30.2;
22086;Kerfot;55.8;
22087;Kergrist-Moëlou;61.9;
22088;Kerien;62.1;
22090;Kermaria-Sulard;52.7;
22091;Kermoroc'h;38.5;
22092;Kerpert;52.8;
22093;Lamballe-Armor;50.3;
22094;Lancieux;25.3;
22095;Landebaëron;26.1;
22096;Landébia;30.5;
22097;La Landec;74.1;
22098;Landéhen;50.5;
22099;Lanfains;58.2;
22101;Langoat;41.8;
22103;Langrolay-sur-Rance;78.9;
22104;Languédias;44.6;
22105;Languenan;81.6;
22106;Langueux;13;
22107;Bon Repos sur Blavet;80;
22108;Lanleff;106.8;*
22109;Lanloup;74.5;
22110;Lanmérin;31.6;
22111;Lanmodez;37.4;
22112;Lannebert;55.2;
22113;Lannion;44.5;
22114;Lanrelas;63.8;
22115;Lanrivain;68.8;
22116;Lanrodec;39.2;
22117;Lantic;66.5;
22118;Lanvallay;58.8;
22119;Lanvellec;61.7;
22121;Lanvollon;27.3;*
22122;Laurenan;64.5;
22124;Lescouët-Gouarec;48.7;
22126;Le Leslay;60.4;
22127;Lézardrieux;28.6;
22128;Locarn;64.9;
22129;Loc-Envel;34;
22131;Loguivy-Plougras;59.4;
22132;Lohuec;95.9;
22133;Loscouët-sur-Meu;70.9;
22134;Louannec;69.1;
22135;Louargat;60.7;
22136;Loudéac;67.3;
22137;Maël-Carhaix;68.3;
22138;Maël-Pestivien;73.1;
22139;Magoar;81.2;*
22140;La Malhoure;55.1;
22141;Mantallot;94.7;
22143;Matignon;87.9;
22144;La Méaugon;24.5;
22145;Mégrit;78.4;
22146;Mellionnec;55.9;
22147;Merdrignac;62.5;
22148;Mérillac;93.1;
22149;Merléac;64.3;
22150;Le Merzer;53.7;
22152;Minihy-Tréguier;54.1;
22153;Moncontour;N/A - division par 0;
22155;La Motte;63;
22156;Moustéru;54;
22157;Le Moustoir;76.7;
22158;Guerlédan;57.9;
22160;Noyal;42.5;
22161;Pabu;78.3;*
22162;Paimpol;41.7;
22163;Paule;90.6;
22164;Pédernec;51.2;
22165;Penguily;49.8;
22166;Penvénan;27.1;
22168;Perros-Guirec;16.9;
22169;Peumerit-Quintin;97.5;
22170;Plaine-Haute;56;
22171;Plaintel;44;
22172;Plancoët;62;
22174;Pléboulle;61.7;
22175;Plédéliac;48;
22176;Plédran;64.2;
22177;Pléguien;48.9;
22178;Pléhédel;38.9;
22179;Fréhel;94.4;
22180;Plélan-le-Petit;74.3;
22181;Plélauff;53.7;
22182;Plélo;48.7;
22183;Plémet;67.3;
22184;Plémy;51.6;
22185;Plénée-Jugon;63.6;
22186;Pléneuf-Val-André;40.9;
22187;Plérin;61.3;*
22188;Plerneuf;62.3;
22189;Plésidy;53;
22190;Pleslin-Trigavou;76.1;
22193;Plestan;60.1;
22194;Plestin-les-Grèves;53;
22195;Pleubian;30.7;
22196;Pleudaniel;45;
22197;Pleudihen-sur-Rance;66.6;
22198;Pleumeur-Bodou;67.7;
22199;Pleumeur-Gautier;39.9;
22200;Pléven;71.7;
22201;Plévenon;80.3;
22202;Plévin;80.3;
22203;Plœuc-L'Hermitage;57.2;
22204;Ploëzal;51.2;
22205;Plorec-sur-Arguenon;98.9;
22206;Châtelaudren-Plouagat;54.9;
22207;Plouaret;71.8;
22208;Plouasne;74.5;
22209;Beaussais-sur-Mer;72.3;
22210;Ploubazlanec;35.2;
22211;Ploubezre;54.1;
22212;Plouëc-du-Trieux;57.4;
22213;Plouër-sur-Rance;57.9;
22214;Plouézec;46.9;
22215;Ploufragan;49.8;
22216;Plougonver;51.4;
22217;Plougras;72.4;
22218;Plougrescant;26.8;
22219;Plouguenast-Langast;57.9;
22220;Plouguernével;71.8;
22221;Plouguiel;32.6;
22222;Plouha;59.8;
22223;Plouisy;47.2;
22224;Ploulec'h;39.8;
22225;Ploumagoar;51.2;
22226;Ploumilliau;64.1;
22227;Plounérin;63.8;
22228;Plounévez-Moëdec;50.9;
22229;Plounévez-Quintin;75.9;
22231;Plourac'h;67.3;
22232;Plourhan;49.9;
22233;Plourivo;29.4;
22234;Plouvara;67.9;
22235;Plouzélambre;65.4;
22236;Pludual;58.5;
22237;Pluduno;65.3;
22238;Plufur;52.8;
22239;Plumaudan;104.2;
22240;Plumaugat;66.8;
22241;Plumieux;64.7;
22242;Plurien;61;
22243;Plusquellec;80.2;
22244;Plussulien;77.5;
22245;Pluzunet;54.2;
22246;Pommeret;45.9;
22248;Pommerit-le-Vicomte;63.5;
22249;Pont-Melvez;59.9;
22250;Pontrieux;8.2;
22251;Pordic;47.7;
22254;Prat;50.5;
22255;La Prénessaye;53.1;
22256;Quemper-Guézennec;59.3;
22257;Quemperven;69.1;
22258;Quessoy;81.4;
22259;Quévert;49.9;
22260;Le Quillio;46.5;
22261;Quintenic;63.7;
22262;Quintin;89.1;
22263;Le Quiou;48.2;
22264;La Roche-Jaudy;52.3;
22265;Rospez;46.3;
22266;Rostrenen;61.9;
22267;Rouillac;73.7;
22268;Ruca;62.9;
22269;Runan;52.4;
22271;Saint-Adrien;51.5;
22272;Saint-Agathon;51.4;
22273;Saint-Alban;58.8;
22274;Saint-André-des-Eaux;85.3;
22275;Saint-Barnabé;76.5;
22276;Saint-Bihy;37.2;
22277;Saint-Brandan;73.7;
22278;Saint-Brieuc;98.6;
22279;Saint-Caradec;58.3;
22280;Saint-Carné;107.5;
22281;Saint-Carreuc;45.6;
22282;Saint-Cast-le-Guildo;69.3;
22283;Saint-Clet;39.9;
22284;Saint-Connan;48.1;
22285;Saint-Connec;64.6;
22286;Saint-Denoual;66.2;
22287;Saint-Donan;49;
22288;Saint-Étienne-du-Gué-de-l'Isle;53.1;
22289;Saint-Fiacre;33.7;
22291;Saint-Gildas;58.1;
22293;Saint-Gilles-les-Bois;58.5;
22294;Saint-Gilles-Pligeaux;44.2;
22295;Saint-Gilles-Vieux-Marché;82.3;
22296;Saint-Glen;56.7;
22299;Saint-Hélen;73.7;
22300;Saint-Hervé;39.1;
22302;Saint-Jacut-de-la-Mer;N/A - division par 0;
22304;Saint-Jean-Kerdaniel;62.3;
22305;Saint-Jouan-de-l'Isle;62.8;
22306;Saint-Judoce;65.9;
22307;Saint-Julien;62.5;
22308;Saint-Juvat;69;
22309;Saint-Launeuc;76.2;
22310;Saint-Laurent;55.2;
22311;Saint-Lormel;76.2;
22312;Saint-Maden;71.5;
22313;Saint-Martin-des-Prés;63.8;
22314;Saint-Maudan;57;
22315;Saint-Maudez;93;
22316;Saint-Mayeux;80.2;
22317;Saint-Méloir-des-Bois;79;
22318;Saint-Michel-de-Plélan;45.9;
22319;Saint-Michel-en-Grève;59.2;
22320;Saint-Nicodème;50.2;
22321;Saint-Nicolas-du-Pélem;58.9;
22322;Saint-Péver;36.8;
22323;Saint-Pôtan;58.2;
22324;Saint-Quay-Perros;67.9;
22325;Saint-Quay-Portrieux;N/A - division par 0;
22326;Saint-Rieul;78.8;
22327;Saint-Samson-sur-Rance;43.9;
22328;Saint-Servais;57.8;
22330;Saint-Thélo;52.9;
22331;Sainte-Tréphine;81;
22332;Saint-Trimoël;37.7;
22333;Saint-Vran;66.8;
22334;Saint-Igeaux;74.4;
22335;Senven-Léhart;45.2;
22337;Sévignac;93.6;
22338;Squiffiec;60.7;
22339;Taden;77.4;
22340;Tonquédec;41.9;
22341;Tramain;112.9;
22342;Trébédan;87.7;
22343;Trébeurden;28.7;
22344;Trébrivan;51.5;
22345;Trébry;46.3;
22346;Trédaniel;59.8;
22347;Trédarzec;40;
22348;Trédias;110.1;
22349;Trédrez-Locquémeau;14;
22350;Tréduder;9.5;
22351;Treffrin;38.7;
22352;Tréfumel;68.6;
22353;Trégastel;27;
22354;Tréglamus;51.7;
22356;Trégomeur;44.8;
22358;Trégonneau;70.3;
22359;Trégrom;57.9;
22360;Trégueux;29.6;
22361;Tréguidel;25.5;*
22362;Tréguier;N/A - division par 0;
22363;Trélévern;57.8;
22364;Trélivan;56.7;
22365;Trémargat;45.1;
22366;Trémel;85.8;
22368;Tréméreuc;6.1;
22369;Trémeur;69.3;
22370;Tréméven;61.9;
22371;Trémorel;59.1;
22372;Trémuson;35.9;
22373;Tréogan;94.6;
22375;Tressignaux;74.4;
22376;Trévé;50;
22377;Tréveneuc;78.7;
22378;Trévérec;69.6;
22379;Trévou-Tréguignec;61.2;
22380;Trévron;98.6;
22381;Trézény;50.2;
22383;Troguéry;83.2;
22384;Uzel;65.4;
22385;La Vicomté-sur-Rance;42.8;
22386;Le Vieux-Bourg;51.9;
22387;Le Vieux-Marché;55.9;
22388;Vildé-Guingalan;58.6;
22389;Yffiniac;63.9;
22390;Yvias;46.5;
22391;Yvignac-la-Tour;84.9;
23001;Ahun;87.6;
23002;Ajain;74.9;
23003;Alleyrat;58.6;
23004;Anzême;129.4;
23005;Arfeuille-Châtain;96.2;
23006;Arrènes;139.7;
23007;Ars;75.9;
23008;Aubusson;93.6;
23009;Auge;81;
23010;Augères;135.5;
23011;Aulon;180.2;
23012;Auriat;69.7;
23013;Auzances;54.4;
23014;Azat-Châtenet;88.7;
23015;Azerables;80;
23016;Banize;101.9;
23017;Basville;102.8;
23018;Bazelat;74;
23019;Beissat;46.1;
23020;Bellegarde-en-Marche;62.6;
23021;Bénévent-l'Abbaye;96.9;
23022;Bétête;85.2;
23023;Blaudeix;86.1;
23024;Blessac;84.3;
23025;Bonnat;117.8;
23026;Bord-Saint-Georges;67.5;
23027;Bosmoreau-les-Mines;129.3;
23028;Bosroger;62;
23029;Le Bourg-d'Hem;52.7;
23030;Bourganeuf;35;
23031;Boussac;83.5;
23032;Boussac-Bourg;74.4;
23033;La Brionne;44.4;
23034;Brousse;77.4;
23035;Budelière;119.6;
23036;Bussière-Dunoise;100.8;
23037;Bussière-Nouvelle;59.5;
23038;Bussière-Saint-Georges;81.7;
23039;La Celle-Dunoise;127.3;
23040;La Celle-sous-Gouzon;74.9;
23041;La Cellette;79.8;
23042;Ceyroux;130.8;
23043;Chamberaud;130.3;
23044;Chambon-Sainte-Croix;5;
23045;Chambon-sur-Voueize;70.1;
23046;Chambonchard;162.9;
23047;Chamborand;75.2;
23048;Champagnat;76.5;
23049;Champsanglard;96.7;
23050;La Chapelle-Baloue;44.5;
23051;La Chapelle-Saint-Martial;116.8;*
23052;La Chapelle-Taillefert;36;
23053;Chard;62.6;
23054;Charron;80.6;
23055;Châtelard;33;
23056;Châtelus-le-Marcheix;93.2;
23057;Châtelus-Malvaleix;106.7;
23058;Le Chauchet;162.1;
23059;La Chaussade;95.5;
23060;Chavanat;50;
23061;Chénérailles;89.9;
23062;Chéniers;84.8;
23063;Clairavaux;133.1;
23064;Clugnat;103.9;
23065;Colondannes;117.3;
23066;Le Compas;74.9;
23067;La Courtine;148.9;
23068;Cressat;62.5;
23069;Crocq;109.5;
23070;Crozant;67.3;
23071;Croze;125.1;
23072;Domeyrot;56.9;
23073;Dontreix;80.7;
23074;Le Donzeil;82.8;
23075;Dun-le-Palestel;104.2;
23076;Évaux-les-Bains;108;
23077;Faux-la-Montagne;96.2;
23078;Faux-Mazuras;117.5;
23079;Felletin;53.2;
23080;Féniers;205.1;
23081;Flayat;99.7;
23082;Fleurat;59.8;
23083;Fontanières;83.2;
23084;La Forêt-du-Temple;85.7;
23086;Fransèches;93.7;
23087;Fresselines;58.8;
23088;Gartempe;110.7;
23089;Genouillac;86.9;
23090;Gentioux-Pigerolles;112.5;
23091;Gioux;164.2;
23092;Glénic;51.7;
23093;Gouzon;117.5;
23095;Le Grand-Bourg;106.2;
23096;Guéret;75.4;
23097;Issoudun-Létrieix;97.1;
23098;Jalesches;159.9;
23099;Janaillat;73.7;
23100;Jarnages;67.5;
23101;Jouillat;167.7;
23102;Ladapeyre;93;
23103;Lafat;109.1;*
23104;Lavaufranche;84.9;
23105;Lavaveix-les-Mines;34.8;
23106;Lépaud;67.5;
23107;Lépinas;50.4;
23108;Leyrat;95.7;
23109;Linard-Malval;77.5;
23110;Lioux-les-Monges;135.7;
23111;Lizières;95.3;
23112;Lourdoueix-Saint-Pierre;82.6;
23113;Lupersat;110.1;
23114;Lussat;117.2;
23115;Magnat-l'Étrange;91.1;
23116;Mainsat;75.8;
23117;Maison-Feyne;120.8;
23118;Maisonnisses;82.8;
23119;Malleret;101.4;
23120;Malleret-Boussac;93.2;
23122;Mansat-la-Courrière;103.5;
23123;Les Mars;60.5;
23124;Marsac;111;
23125;Le Mas-d'Artige;151.4;
23127;Mautes;86.6;
23128;Mazeirat;172;
23129;La Mazière-aux-Bons-Hommes;100.6;
23130;Méasnes;81.6;
23131;Mérinchal;79.5;
23132;Montaigut-le-Blanc;103.8;
23133;Montboucher;96.4;
23134;Le Monteil-au-Vicomte;85.1;
23136;Mortroux;109;
23137;Mourioux-Vieilleville;89.7;
23138;Moutier-d'Ahun;90.8;
23139;Moutier-Malcard;67.3;
23140;Moutier-Rozeille;85;
23141;Naillat;82.3;
23142;Néoux;120.4;
23143;Noth;75;
23144;La Nouaille;84.7;
23145;Nouhant;140;
23146;Nouzerines;74.7;
23147;Nouzerolles;80.8;
23148;Nouziers;80.7;
23149;Parsac-Rimondeix;83.6;
23150;Peyrabout;80;
23151;Peyrat-la-Nonière;77.6;
23152;Pierrefitte;142.5;
23154;Pionnat;100.6;
23155;Pontarion;20;
23156;Pontcharraud;71.4;
23157;La Pouge;131.2;
23158;Poussanges;133.1;
23159;Puy-Malsignat;113.1;
23160;Reterre;71.7;
23162;Roches;130.5;
23164;Rougnat;93.5;
23165;Royère-de-Vassivière;67.3;
23166;Sagnat;95.6;
23167;Sannat;110.4;
23168;Sardent;64.3;
23169;La Saunière;84.1;
23170;Savennes;39.5;
23171;Sermur;75;
23172;La Serre-Bussière-Vieille;106.9;
23173;Soubrebost;92.7;
23174;Soumans;114.8;
23175;Sous-Parsat;112.4;
23176;La Souterraine;100.1;
23177;Saint-Agnant-de-Versillat;82.6;
23178;Saint-Agnant-près-Crocq;88.2;
23179;Saint-Alpinien;76.6;
23180;Saint-Amand;81.5;
23181;Saint-Amand-Jartoudeix;68.5;
23182;Saint-Avit-de-Tardes;83.6;
23183;Saint-Avit-le-Pauvre;141.9;
23184;Saint-Bard;96.1;
23185;Saint-Chabrais;73.9;
23186;Saint-Christophe;118.6;
23187;Saint-Dizier-la-Tour;112.8;
23188;Saint-Dizier-les-Domaines;65.1;
23189;Saint-Dizier-Masbaraud;119.1;
23190;Saint-Domet;40;
23191;Saint-Éloi;72.5;
23192;Fursac;100;
23193;Sainte-Feyre;51.2;
23194;Sainte-Feyre-la-Montagne;162.1;
23195;Saint-Fiel;95.3;
23196;Saint-Frion;122.1;
23197;Saint-Georges-la-Pouge;68.7;
23198;Saint-Georges-Nigremont;104.2;
23199;Saint-Germain-Beaupré;130.2;
23200;Saint-Goussaud;38;
23201;Saint-Hilaire-la-Plaine;41.3;
23202;Saint-Hilaire-le-Château;90.6;
23203;Saint-Julien-la-Genête;79.4;
23204;Saint-Julien-le-Châtel;118.6;
23205;Saint-Junien-la-Bregère;95.1;
23206;Saint-Laurent;79.1;
23207;Saint-Léger-Bridereix;69.4;
23208;Saint-Léger-le-Guérétois;106.8;
23209;Saint-Loup;100.1;
23210;Saint-Maixant;58.6;
23211;Saint-Marc-à-Frongier;64;
23212;Saint-Marc-à-Loubaud;96.1;
23213;Saint-Marien;75.5;
23214;Saint-Martial-le-Mont;73.9;
23215;Saint-Martial-le-Vieux;86.1;
23216;Saint-Martin-Château;85.9;
23217;Saint-Martin-Sainte-Catherine;127.2;
23218;Saint-Maurice-près-Crocq;79.3;
23219;Saint-Maurice-la-Souterraine;109.9;
23220;Saint-Médard-la-Rochette;97.8;
23221;Saint-Merd-la-Breuille;114.5;
23222;Saint-Michel-de-Veisse;113.6;
23223;Saint-Moreil;13.4;
23224;Saint-Oradoux-de-Chirouze;8.6;
23225;Saint-Oradoux-près-Crocq;52.4;
23226;Saint-Pardoux-d'Arnet;108.1;
23227;Saint-Pardoux-Morterolles;55.4;
23228;Saint-Pardoux-le-Neuf;85.4;
23229;Saint-Pardoux-les-Cards;83.7;
23230;Saint-Pierre-Chérignat;114.5;
23232;Saint-Pierre-Bellevue;144.1;
23233;Saint-Pierre-le-Bost;113.1;
23234;Saint-Priest;120.2;
23235;Saint-Priest-la-Feuille;94.2;
23236;Saint-Priest-la-Plaine;77.5;
23237;Saint-Priest-Palus;186.3;
23238;Saint-Quentin-la-Chabanne;117.9;
23239;Saint-Sébastien;103;
23240;Saint-Silvain-Bas-le-Roc;80.3;
23241;Saint-Silvain-Bellegarde;81.4;
23242;Saint-Silvain-Montaigut;84.2;
23243;Saint-Silvain-sous-Toulx;116;
23244;Saint-Sulpice-le-Dunois;96.3;
23245;Saint-Sulpice-le-Guérétois;123.4;
23246;Saint-Sulpice-les-Champs;140.9;
23247;Saint-Vaury;97;
23248;Saint-Victor-en-Marche;112.1;
23249;Saint-Yrieix-la-Montagne;54.7;
23250;Saint-Yrieix-les-Bois;78.9;
23251;Tardes;95.3;*
23252;Tercillat;85.3;
23253;Thauron;100.3;
23254;Toulx-Sainte-Croix;58.5;
23255;Trois-Fonds;128;
23257;Vallière;89.1;
23258;Vareilles;109;
23259;Verneiges;174.8;
23260;Vidaillat;71.7;
23261;Viersat;127.9;
23262;Vigeville;72.6;
23263;Villard;127.5;
23264;La Villedieu;113.4;
23265;La Villeneuve;N/A - division par 0;
23266;La Villetelle;92.8;
24001;Abjat-sur-Bandiat;26.9;
24002;Agonac;80.8;
24004;Ajat;50.2;
24005;Alles-sur-Dordogne;37;
24006;Allas-les-Mines;34.6;
24007;Allemans;70.1;
24008;Angoisse;44.7;
24009;Anlhiac;42.8;
