Recensement agricole 2020; ; 
Référentiel géographique : France  par Commune 2020; ; 
Code;Libellé;SAU moyenne en 2020;SAU moyenne en 2020 - estimation (*=oui)
01241;Meillonnas;111.6;
01242;Mérignat;5.1;
01243;Messimy-sur-Saône;287.1;
01244;Meximieux;21.2;
01245;Bohas-Meyriat-Rignat;176.9;
01246;Mézériat;35.9;
01247;Mijoux;64;
01248;Mionnay;98.6;
01249;Miribel;84;
01250;Misérieux;77.8;
01252;Mogneneins;60.2;
01254;Montagnat;83.4;
01255;Montagnieu;18.5;
01257;Montanges;129.2;
01258;Montceaux;90.6;
01259;Montcet;77.1;
01260;Le Montellier;106;
01261;Monthieux;66.7;
01262;Montluel;101.5;
01263;Montmerle-sur-Saône;16.1;
01264;Montracol;79;
01265;Montréal-la-Cluse;196.5;
01266;Montrevel-en-Bresse;52.6;
01267;Nurieux-Volognat;143.4;
01268;Murs-et-Gélignieux;55.3;
01269;Nantua;N/A - division par 0;
01272;Neuville-les-Dames;66.5;
01273;Neuville-sur-Ain;79.1;
01274;Les Neyrolles;42.2;
01275;Neyron;150.7;
01276;Niévroz;81.1;
01277;Nivollet-Montgriffon;112.9;
01279;Oncieu;70.6;
01280;Ordonnaz;89.3;
01281;Ornex;115.4;
01282;Outriaz;142.6;
01283;Oyonnax;83.8;
01284;Ozan;73;
01285;Parcieux;81;
01286;Parves et Nattages;58.1;
01288;Péron;81.1;
01289;Péronnas;137.1;
01290;Pérouges;77.5;
01291;Perrex;72;
01293;Peyriat;71.9;
01294;Peyrieu;48.3;
01295;Peyzieux-sur-Saône;103.8;
01296;Pirajoux;85.2;
01297;Pizay;123.6;
01298;Plagne;118.2;
01299;Le Plantay;70;
01301;Polliat;60.4;
01302;Pollieu;3.6;
01303;Poncin;47;
01304;Pont-d'Ain;98.3;
01305;Pont-de-Vaux;59.7;
01306;Pont-de-Veyle;76.1;
01307;Port;N/A - division par 0;
01308;Pougny;119.9;
01309;Pouillat;105.5;
01310;Prémeyzel;55.5;
01311;Prémillieu;194.3;
01313;Prévessin-Moëns;103.3;
01314;Priay;162.1;
01317;Ramasse;89;
01318;Rancé;68.7;
01319;Relevant;79.9;
01320;Replonges;59.4;
01321;Revonnas;145.8;
01322;Reyrieux;63.7;
01323;Reyssouze;72.1;
01325;Rignieux-le-Franc;96.7;
01328;Romans;93;
01329;Rossillon;N/A - division par 0;
01330;Ruffieu;56.7;
01331;Saint-Alban;47.1;
01332;Saint-André-de-Bâgé;14.3;
01333;Saint-André-de-Corcy;92.4;
01334;Saint-André-d'Huiriat;47.8;
01335;Saint-André-le-Bouchoux;41.7;
01336;Saint-André-sur-Vieux-Jonc;81;
01337;Saint-Bénigne;114.3;
01338;Groslée-Saint-Benoit;33;
